Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.87366287072413E-14,-0.00179506416880645,8.82598080998461E-06,0,0,0,0.172076781446164,6.56966250127203E-05,-9.05222247925222E-21,-2.7655394126859E-10,0.000351145645808481,2.8099130371103E-14,0.000296660273404923,0,0,0,0,0,0,package://platform-1-urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/base_link.STL,,Hip Front-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_link,0.0312338500467596,-0.0269557851011357,8.81825816659884E-06,0,0,0,0.218746942434887,0.000111242223188787,-3.50040811249981E-05,-3.44206099539943E-12,0.000322873601680704,3.92851149076219E-12,0.000298130301089545,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_hip_link.STL,,Center Hip Joint-1,Origin_Right Hip Joint,Axis_Right Hip Joint,Right Hip Joint,revolute,0.04,0,0,0,0,0,base_link,0,1,0,25,100,-1.57,1.57,,,,,,,,
right_hip_swivel_link,0.026179011420427,7.75421393761633E-15,8.79190997261723E-06,0,0,0,0.347515284060988,0.000760222748845959,-4.71970967575616E-16,2.00616432300055E-11,0.00043778973434596,-6.43254312041269E-11,0.000366171194309917,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_hip_swivel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_hip_swivel_link.STL,,hip_pivot_link-2,Origin_Right Hip Swivel Joint,Axis_Right Hip Swivel Joint,Right Hip Swivel Joint,revolute,0.074427,-0.02134,0,0,0,0,right_hip_link,0,0,-1,25,100,-1.57,1.57,,,,,,,,
right_upper_leg_link,0.0348402920137008,-0.0263553666400808,-0.141434689298884,0,0,0,1.56276271190185,0.00874757897418537,-7.02435999358329E-05,-0.000376977227239328,0.00677819253597887,-0.000753330087848866,0.00287562590565611,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_upper_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_upper_leg_link.STL,,upper_leg_link_correct-2,Origin_Right Upper Leg Joint,Axis_Right Upper Leg Joint,Right Upper Leg Joint,revolute,0,0,0,0,0,0,right_hip_swivel_link,1,0,0,25,100,-1.57,1.57,,,,,,,,
right_lower_leg_link,0.0220000000782792,0.00456596345783578,-0.0813370922335395,0,0,0,0.848373595704519,0.00672506155795486,2.30279220574956E-12,2.42591504272229E-12,0.00664011713487416,0.000212673883646662,0.000706215505123794,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_lower_leg_link.STL,,Lower Leg-1,Origin_Right Lower Leg Joint,Axis_Right Lower Leg Joint,Right Lower Leg Joint,revolute,0,-0.056414,-0.30275,-0.15372,0,0,right_upper_leg_link,-1,0,0,25,100,-1.57,1.57,,,,,,,,
right_ankle_link,0.0125000293285679,-0.00246190454829391,-0.010269641525856,0,0,0,0.0868207809581255,6.58227966480361E-05,7.66796652557329E-11,3.06082970006109E-11,2.79658938559025E-05,5.7212834484298E-06,4.77582065457539E-05,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_ankle_link.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_ankle_link.STL,,Ankle-1,Origin_Right Ankle,Axis_Right Ankle,Right Ankle,revolute,0.0095,0,-0.25,0.15372,0,0,right_lower_leg_link,-1,0,0,25,100,-1.57,1.57,,,,,,,,
right_foot,1.86822849648771E-06,0.0457950081163243,-0.0200724464504474,0,0,0,0.162517837389381,0.000346865868444993,-8.62701734003375E-09,6.78704090410348E-09,5.41447950521625E-05,-3.90032892638468E-06,0.000380328012813706,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_foot.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/right_foot.STL,,Foot-1,Origin_Right Foot,Axis_Right Foot,Right Foot,revolute,0.0125,0,-0.03,0,0,0,right_ankle_link,0,1,0,25,100,-3.14,3.14,,,,,,,,
left_hip_link,-0.0312338500445707,-0.0269557851035351,8.83381273877186E-06,0,0,0,0.218746942434901,0.000111242188532273,3.50041183445646E-05,-3.43060020629386E-12,0.000322873670433245,-3.94137140927574E-12,0.000298130537004761,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_hip_link.STL,,Center Hip Joint-2,Origin_Left Hip Joint,Axis_Left Hip Joint,Left Hip Joint,revolute,-0.04,0,0,0,0,0,base_link,0,1,0,25,100,-1.57,1.57,,,,,,,,
left_hip_swivel_link,-0.026179011420427,-7.77850006628E-15,8.79199407935082E-06,0,0,0,0.347515284060989,0.000760222748845962,-4.7192236305285E-16,-2.00617297058978E-11,0.000437789734345962,6.43254311745432E-11,0.000366171194309919,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_hip_swivel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_hip_swivel_link.STL,,hip_pivot_link-1,Origin_Left Hip Swivel Joint,Axis_Left Hip Swivel Joint,Left Hip Swivel Joint,revolute,-0.074427,-0.02134,0,0,0,0,left_hip_link,0,0,-1,25,100,-1.57,1.57,,,,,,,,
left_upper_leg_link,-0.0348402910776952,-0.0263554086588937,-0.141434680541551,0,0,0,1.56276272194335,0.00874757897447828,7.02419563333352E-05,0.000376977541338041,0.00677819497868202,-0.000753324590181511,0.00287562348702888,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_upper_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_upper_leg_link.STL,,upper_leg_link_correct-1,Origin_Left Upper Leg Joint,Axis_Left Upper Leg Joint,Left Upper Leg Joint,revolute,0,0,0,0,0,0,left_hip_swivel_link,-1,0,0,25,100,-1.57,1.57,,,,,,,,
left_lower_leg_link,-0.0209999999217206,0.00456596345791519,-0.0813370922334818,0,0,0,0.848373595704519,0.00672506155795486,2.30279243176542E-12,2.42590978655892E-12,0.00664011713487461,0.000212673883640369,0.000706215505123342,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_lower_leg_link.STL,,Lower Leg-2,Origin_Left Lower Leg Joint,Axis_Left Lower Leg Joint,Left Lower Leg Joint,revolute,0,-0.056414,-0.30275,-0.15372,0,0,left_upper_leg_link,-1,0,0,25,100,-1.57,1.57,,,,,,,,
left_ankle_link,-0.0124999707080538,-0.00246190487655693,-0.0102696414917176,0,0,0,0.0868207809581255,6.58227966480384E-05,7.61167526463498E-11,3.06933685270043E-11,2.79658940145574E-05,5.72128372286002E-06,4.77582063870967E-05,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_ankle_link.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_ankle_link.STL,,Ankle-2,Origin_Left Ankle,Axis_Left Ankle,Left Ankle,revolute,-0.0085,0,-0.25,0.15372,0,0,left_lower_leg_link,-1,0,0,25,100,-1.57,1.57,,,,,,,,
left_foot,1.86822373313134E-06,0.0457950081162976,-0.0200724464514711,0,0,0,0.162517837389381,0.00034686586844499,-8.62701734002997E-09,6.78704090416956E-09,5.41447950521598E-05,-3.90032892638468E-06,0.000380328012813706,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_foot.STL,1,1,1,1,0,0,0,0,0,0,package://platform-1-urdf/meshes/left_foot.STL,,Foot-2,Origin_Left Foot,Axis_Left Foot,Left Foot,revolute,-0.0125,0,-0.03,0,0,0,left_ankle_link,0,1,0,25,100,-3.14,3.14,,,,,,,,
